,Star_name,Distance,Mass,Radius,Gravity
110,2MASS J03264225-2102057 [de],80,3.4176159576e+28,92939884.83000001,263.9033072218179
111,2MASS J03284265+2302051 [de],98,1.02528478728e+29,70062374.71800001,1393.1588584075562
112,2MASS J03341218-4953322,27,1.3860331383599998e+29,74351907.864,1672.3039433327008
113,LP 944-20,20.9,1.3860331383599998e+29,102233873.31300001,884.5243997792794
114,2MASP J0345432+254023,88,1.40501989368e+29,75066830.055,1663.0762207689872
115,Teide 1,380,1.0442715426e+29,270240588.198,95.37578426582239
116,2MASS J03510004-0052452,48,1.93664904264e+29,90795118.257,1566.9378172820864
117,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.407579076671
118,2MASS J04151954−0935066,18.6,5.696026596e+28,67917608.145,823.631743683975
119,2MASS J04285096-2253227 [de],85,1.5189404256e+29,77926518.81899999,1668.3840275505147
120,2MASS J04351612-1606574,34,1.8986755319999998e+29,90080196.066,1560.6946516225482
121,2MASS J04362788-4114465,142,7.4048345748e+28,140839671.627,248.99532151748912
122,2MASS J04390101-2353083 [de],29.5,9.113642553599999e+28,69347452.527,1264.0283110635135
123,2MASS J04433764+0002040,82,4.1770861704e+28,127256149.99800001,172.04486250521106
124,2MASS J04455387-3048204 [de],42,1.21515234048e+29,71492219.1,1585.765650506213
125,2MASS J04510093-3402150 [de],69,1.974623508e+27,5147439775.2,0.0049708148687804595
126,2MASS J05002100+0330501 [de],44,1.21515234048e+29,71492219.1,1585.765650506213
127,2MASS J05012406-0010452 [de],64,3.987218617199999e+28,98659262.358,273.2248236044692
128,2MASS J05160945-0445499 [de],73,8.9237750004e+28,69347452.527,1237.694387916357
129,2MASS J0523−1403,40,1.2910993617600001e+29,72207141.291,1651.6772901312145
130,SDSS J053951.99-005902.0,41.62,1.1581920745199998e+29,72207141.291,1481.6516867353537
131,LSR 0602+3910 [de],34.6,5.3162914895999995e+28,100804028.93100001,348.96256329986824
132,2MASS J06085283-2753583,102,7.2149670216e+28,107953250.84099999,412.9416933415482
133,2MASS J06244595-4521548 [de],39,1.0632582979199999e+29,70777296.90900001,1415.7177269594285
134,2MASS J06411840-4322329 [de],65,1.27211260644e+29,72207141.291,1627.3879182175199
135,DENIS-P J0652197-253450 [de],51,1.4240066489999998e+29,75066830.055,1685.550223752352
136,2MASS J07075327-4900503,60,1.36704638304e+29,73636985.673,1681.5782418884814
137,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71800001,670.7801910851196
138,2MASSI J0727182+171001 [de],29.6,7.784569681199999e+28,67202685.954,1149.7070165861733
139,2MASS J07290002-3954043 [de],25.8,7.0250994684e+28,67202685.954,1037.5404783826443
140,SDSS J074201.41+205520.5 [de],49,8.1643047876e+28,67202685.954,1205.7902856879382
141,DENIS-P J0751164-253043 [de],55,1.3480596277199998e+29,73636985.673,1658.2229885289191
142,2MASS J07522390+1612157,60,3.816338058e+27,4861470898.8,0.010770535375425765
143,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.954,1233.8319202388204
144,2MASS J08251968+2115521 [de],35,9.873112766399999e+28,70062374.71800001,1341.560382170239
145,SDSSp J083008.12+482847.4 [de],43,9.113642553599999e+28,70777296.90900001,1213.472337393796
146,LHS 2021,55,1.67083446816e+29,82216051.965,1648.7166498646827
147,SDSS J083048.80+012831.1 [de],77,8.733907447199999e+28,68632530.336,1236.7285821412115
148,2MASSI J0835425-081923 [de],23.53,1.1771788298400001e+29,71492219.1,1536.210473927894
149,2MASSI J0847287-153237 [de],43,1.21515234048e+29,71492219.1,1585.765650506213
150,2MASS J08533619-0329321,27.6,1.46198015964e+29,76496674.437,1666.4113007819785
151,2MASSI J0859254-194926 [de],50,9.493377659999999e+28,70062374.71800001,1289.9619059329223
152,2MASSI J0937347+293142,20,7.974437234399999e+28,67202685.954,1177.7486511370555
153,2MASS 0939−2448,17.4,6.0757617024e+28,67917608.145,878.5405265962398
154,2MASS J09490860-1545485 [de],59,9.3035101068e+28,68632530.336,1317.3847940199864
155,2MASS J10073369-4555147,46,8.3541723408e+28,67202685.954,1233.8319202388204
156,2MASSI J1010148-040649 [de],55,9.6832452132e+28,70062374.71800001,1315.7611440515807
157,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.93100001,336.4996146105873
158,2MASSW J1036530-344138 [de],53,9.3035101068e+28,69347452.527,1290.3622342106703
159,2MASS J1047538+212423 [de],34.4,7.974437234399999e+28,67202685.954,1177.7486511370555
160,DEN 1048-3956,13.15,1.46198015964e+29,76496674.437,1666.4113007819785
161,Luhman 16B,6.516,8.1643047876e+28,72922063.482,1024.064106530048
162,Luhman 16A,6.516,7.594702128e+28,72207141.291,971.5748765477731
163,DENIS-P J1058.7−1548,49,1.21515234048e+29,71492219.1,1585.765650506213
164,TWA 28,180,6.8352319152e+28,170866403.649,156.15853686205512
165,Cha 110913-773444,163,1.5189404256e+28,128685994.38000001,61.179230343603884
166,SDSS J111010.01+011613.1,63,1.7088079788e+28,88650351.684,145.03010835226078
167,2MASS J11145133−2618235,18.2,6.265629255599999e+28,68632530.336,887.2183306665213
168,TWA 26,137,5.696026596e+28,157282882.01999998,153.58009270140238
169,2MASS J11544223-3400390 [de],129,7.0250994684e+28,107238328.64999999,407.45367408840207
170,2MASSW J1155395-372735 [de],31,1.21515234048e+29,71492219.1,1585.765650506213
171,2MASS J12074836-3900043,217,3.2277484044000003e+28,122251694.661,144.05081936859645
172,2MASSI J1217110-031113 [de],36,7.974437234399999e+28,67202685.954,1177.7486511370555
173,2M 1237+6526,45.6,7.784569681199999e+28,67202685.954,1149.7070165861733
174,TWA 29,262,3.797351064e+27,1787305477.5000002,0.07928828252531062
175,SDSSp J125453.90-012247.4 [de],38,8.9237750004e+28,70062374.71800001,1212.5641915769468
176,Kelu-1A,61,1.19616558516e+29,70062374.71800001,1625.352001475482
177,Kelu-1B,61,1.1012318085599999e+29,70062374.71800001,1496.3558108821899
178,2MASS J13204427+0409045,101,1.27211260644e+29,72207141.291,1627.3879182175199
179,SDSSp J132629.82-003831.5 [de],65,9.6832452132e+28,69347452.527,1343.0300805049833
180,SDSSp J134646.45-003150.4 [de],48,8.3541723408e+28,67202685.954,1233.8319202388204
181,2MASS J13595510-4034582,51,1.19616558516e+29,71492219.1,1560.9880622170535
182,ULAS J141623.94+134836.3,29.7,6.0757617024e+28,68632530.336,860.3329267069297
183,SDSS J141659.78+500626.4 [de],149,1.12021856388e+29,70777296.90900001,1491.559748046541
184,DENIS-P J142527.97-365023.4 [de],38,3.987218617199999e+28,94369729.212,298.6279580305045
185,LHS 2924,38.5,1.44299340432e+29,75781752.246,1675.9493680812814
186,2MASS J14392837+1929150,47,1.36704638304e+29,73636985.673,1681.5782418884814
187,LSPM J1440+1339,72,1.7467814894399998e+29,85075740.729,1609.7296254520732
188,2MASS J14482563+1031590 [de],47,1.12021856388e+29,70777296.90900001,1491.559748046541
189,CFBDSIR 1458+10A,104,2.1075298803e+28,107238328.64999999,122.23610453374874
190,CFBDSIR 1458+10B,104,1.7088079788e+28,92939884.83000001,131.95165361090895
191,TVLM 513-46546,35.1,1.4240066489999998e+29,75066830.055,1685.550223752352
192,2MASS 1503+2525,20.7,8.3541723408e+28,67202685.954,1233.8319202388204
193,CFBDS J150411+102717,71,8.3541723408e+28,67202685.954,1233.8319202388204
194,2MASSW J1506544+132106 [de],46,1.3100861170799998e+29,72922063.482,1643.2656593156585
195,2MASS 1507−1627,23.9,1.1392053192e+29,70777296.90900001,1516.8404217422449
196,TVLM 868-110639,53,1.49995367028e+29,77211596.628,1678.1802767863567
197,2MASSW J1515008+484742 [de],34,1.08224505324e+29,70777296.90900001,1440.9984006551329
198,2MASSI J1526140+204341 [de],67,1.02528478728e+29,70062374.71800001,1393.1588584075562
199,DENIS-P J153941.96-052042.4 [de],51,1.19616558516e+29,71492219.1,1560.9880622170535
200,2MASS J15462718-3325111 [de],37,8.3541723408e+28,67202685.954,1233.8319202388204
201,2MASSW J1552591+294849 [de],68,5.696026596e+28,102233873.31300001,363.50317799148473
202,2MASSW J1555157-095605 [de],44,1.3480596277199998e+29,73636985.673,1658.2229885289191
203,2MASS J16150413+1340079 [de],48,7.974437234399999e+28,67202685.954,1177.7486511370555
204,SDSSp J162414.37+002915.6 [de],36,8.1643047876e+28,67202685.954,1205.7902856879382
205,2MASS J16262034+3925190 [de],110,1.3480596277199998e+29,73636985.673,1658.2229885289191
